10026, 10181
10088, 10139
10002, 10220
10194, 10211
10062, 10017
10114, 10167
10250, 10201
10012, 10218
10265, 10238
10023, 10035
10055, 10145
10277, 10282
10046, 10150
10226, 10232
10003, 10136
10294, 10233
10081, 10090
10238, 10279
10184, 10013
10203, 10217
10107, 10140
10181, 10228
10150, 10056
10001, 10104
10085, 10233
10115, 10205
10082, 10036
10040, 10012
10067, 10090
10108, 10165
10210, 10121
10154, 10020
10200, 10126
10168, 10010
10220, 10031
10029, 10225
10261, 10201
10282, 10035
10019, 10041
10094, 10157
10193, 10088
10132, 10194
10083, 10015
10099, 10310
10212, 10257
10056, 10272
10143, 10063
10311, 10104
10155, 10081
10306, 10079
10310, 10046
10197, 10194
10276, 10180
10304, 10281
10284, 10091
10207, 10279
10133, 10226
10028, 10115
10006, 10311
10105, 10101
10211, 10042
10247, 10235
10235, 10257
10299, 10126
10263, 10165
10136, 10091
10308, 10117
10309, 10046
10049, 10116
10015, 10027
10080, 10306
10258, 10127
10273, 10307
10111, 10067
10257, 10054
10159, 10226
10018, 10009
10255, 10111
10228, 10111
10243, 10235
10031, 10037
10101, 10304
10237, 10254
10051, 10077
10218, 10079
10256, 10180
10098, 10027
10234, 10127
10125, 10132
10074, 10117
10007, 10202
10129, 10052
10167, 10085
10112, 10256
10272, 10217
10248, 10193
10201, 10276
10214, 10210
10139, 10067
10227, 10201
10236, 10265
10009, 10121
10060, 10208
10156, 10236
10036, 10206
10192, 10025
10231, 10090
10089, 10006
10208, 10111
10176, 10254
10165, 10110
10113, 10063
10052, 10037
10038, 10111
10232, 10074
10134, 10207
10251, 10057
10103, 10028
10017, 10278
10137, 10082
10008, 10165
10035, 10294
10057, 10159
10219, 10288
10077, 10101
10279, 10311
10110, 10105
10053, 10012
10076, 10101
10145, 10126
10202, 10076
10068, 10103
10116, 10110
10213, 10054
10288, 10206
10025, 10212
10223, 10294
10151, 10198
10254, 10295
10120, 10206
10216, 10114
10079, 10173
10063, 10009
10037, 10225
10042, 10281
10206, 10012
10104, 10202
10121, 10038
10021, 10007
10281, 10309
10041, 10101
10217, 10217
10016, 10018
10164, 10016
10124, 10213
10225, 10079
10239, 10015
10140, 10233
10011, 10213
10020, 10107
10162, 10019
10086, 10123
10054, 10083
10198, 10308
10126, 10265
10295, 10024
10233, 10220
10169, 10253
10071, 10239
10179, 10117
10091, 10248
10178, 10248
10039, 10116
10027, 10119
10291, 10258
10157, 10263
10119, 10164
10180, 10263
10302, 10265
10090, 10287
10278, 10253
10307, 10025
10147, 10040
10266, 10089
10241, 10026
10158, 10057
10117, 10134
10209, 10085
10024, 10001
10173, 10201
10161, 10027
10123, 10307
10013, 10076
10287, 10008
10045, 10054
10205, 10133
10144, 10101
10253, 10174
10183, 10039
10190, 10197
10172, 10021
10127, 10162
10174, 10176
10135, 10190
10010, 10228
10043, 10062
10271, 10169
